Date;Country;Period;Local marginal capacity price (euro/MW)
2020-01-01;Frankreich;NEGPOS_00_24;149
2020-01-02;Frankreich;NEGPOS_00_24;122
2020-01-03;Frankreich;NEGPOS_00_24;140
2020-01-04;Frankreich;NEGPOS_00_24;164.56
2020-01-05;Frankreich;NEGPOS_00_24;150
2020-01-06;Frankreich;NEGPOS_00_24;148.96
2020-01-07;Frankreich;NEGPOS_00_24;144
2020-01-08;Frankreich;NEGPOS_00_24;171.66
2020-01-09;Frankreich;NEGPOS_00_24;140
2020-01-10;Frankreich;NEGPOS_00_24;125
2020-01-11;Frankreich;NEGPOS_00_24;179.15
2020-01-12;Frankreich;NEGPOS_00_24;283.78
2020-01-13;Frankreich;NEGPOS_00_24;126.54
2020-01-14;Frankreich;NEGPOS_00_24;138
2020-01-15;Frankreich;NEGPOS_00_24;122.28
2020-01-16;Frankreich;NEGPOS_00_24;96
2020-01-17;Frankreich;NEGPOS_00_24;96
2020-01-18;Frankreich;NEGPOS_00_24;169.21
2020-01-19;Frankreich;NEGPOS_00_24;179.71
2020-01-20;Frankreich;NEGPOS_00_24;0
2020-01-21;Frankreich;NEGPOS_00_24;0
2020-01-22;Frankreich;NEGPOS_00_24;140.22
2020-01-23;Frankreich;NEGPOS_00_24;96
2020-01-24;Frankreich;NEGPOS_00_24;109.3
2020-01-25;Frankreich;NEGPOS_00_24;96
2020-01-26;Frankreich;NEGPOS_00_24;100
2020-01-27;Frankreich;NEGPOS_00_24;135
2020-01-28;Frankreich;NEGPOS_00_24;115
2020-01-29;Frankreich;NEGPOS_00_24;108
2020-01-30;Frankreich;NEGPOS_00_24;105.15
2020-01-31;Frankreich;NEGPOS_00_24;120
2020-02-01;Frankreich;NEGPOS_00_24;179
2020-02-02;Frankreich;NEGPOS_00_24;189.2
2020-02-03;Frankreich;NEGPOS_00_24;166.68
2020-02-04;Frankreich;NEGPOS_00_24;175
2020-02-05;Frankreich;NEGPOS_00_24;150
2020-02-06;Frankreich;NEGPOS_00_24;135
2020-02-07;Frankreich;NEGPOS_00_24;145
2020-02-08;Frankreich;NEGPOS_00_24;170.4
2020-02-09;Frankreich;NEGPOS_00_24;277.87
2020-02-10;Frankreich;NEGPOS_00_24;303.87
2020-02-11;Frankreich;NEGPOS_00_24;296.92
2020-02-12;Frankreich;NEGPOS_00_24;195
2020-02-13;Frankreich;NEGPOS_00_24;155.45
2020-02-14;Frankreich;NEGPOS_00_24;111
2020-02-15;Frankreich;NEGPOS_00_24;96
2020-02-16;Frankreich;NEGPOS_00_24;96
2020-02-17;Frankreich;NEGPOS_00_24;74.78
2020-02-18;Frankreich;NEGPOS_00_24;74.78
2020-02-19;Frankreich;NEGPOS_00_24;110.11
2020-02-20;Frankreich;NEGPOS_00_24;116.76
2020-02-21;Frankreich;NEGPOS_00_24;151.79
2020-02-22;Frankreich;NEGPOS_00_24;139.5
2020-02-23;Frankreich;NEGPOS_00_24;140.26
2020-02-24;Frankreich;NEGPOS_00_24;96
2020-02-25;Frankreich;NEGPOS_00_24;96
2020-02-26;Frankreich;NEGPOS_00_24;118
2020-02-27;Frankreich;NEGPOS_00_24;94
2020-02-28;Frankreich;NEGPOS_00_24;71.5
2020-02-29;Frankreich;NEGPOS_00_24;96
2020-03-01;Frankreich;NEGPOS_00_24;96
2020-03-02;Frankreich;NEGPOS_00_24;77.43
2020-03-03;Frankreich;NEGPOS_00_24;78.66
2020-03-04;Frankreich;NEGPOS_00_24;142.14
2020-03-05;Frankreich;NEGPOS_00_24;150
2020-03-06;Frankreich;NEGPOS_00_24;120
2020-03-07;Frankreich;NEGPOS_00_24;149
2020-03-08;Frankreich;NEGPOS_00_24;235
2020-03-09;Frankreich;NEGPOS_00_24;86.43
2020-03-10;Frankreich;NEGPOS_00_24;86.43
2020-03-11;Frankreich;NEGPOS_00_24;211.78
2020-03-12;Frankreich;NEGPOS_00_24;235
2020-03-13;Frankreich;NEGPOS_00_24;218.26
2020-03-14;Frankreich;NEGPOS_00_24;170
2020-03-15;Frankreich;NEGPOS_00_24;262
2020-03-16;Frankreich;NEGPOS_00_24;160
2020-03-17;Frankreich;NEGPOS_00_24;136.8
2020-03-18;Frankreich;NEGPOS_00_24;117.2
2020-03-19;Frankreich;NEGPOS_00_24;73.22
2020-03-20;Frankreich;NEGPOS_00_24;110
2020-03-21;Frankreich;NEGPOS_00_24;72
2020-03-22;Frankreich;NEGPOS_00_24;223.49
2020-03-23;Frankreich;NEGPOS_00_24;72
2020-03-24;Frankreich;NEGPOS_00_24;72
2020-03-25;Frankreich;NEGPOS_00_24;72
2020-03-26;Frankreich;NEGPOS_00_24;72
2020-03-27;Frankreich;NEGPOS_00_24;100
2020-03-28;Frankreich;NEGPOS_00_24;102.12
2020-03-29;Frankreich;NEGPOS_00_24;111.85
2020-03-30;Frankreich;NEGPOS_00_24;144
2020-03-31;Frankreich;NEGPOS_00_24;120.31
2020-04-01;Frankreich;NEGPOS_00_24;110.41
2020-04-02;Frankreich;NEGPOS_00_24;114
2020-04-03;Frankreich;NEGPOS_00_24;118.96
2020-04-04;Frankreich;NEGPOS_00_24;110
2020-04-05;Frankreich;NEGPOS_00_24;163.98
2020-04-06;Frankreich;NEGPOS_00_24;169.63
2020-04-07;Frankreich;NEGPOS_00_24;140
2020-04-08;Frankreich;NEGPOS_00_24;125
2020-04-09;Frankreich;NEGPOS_00_24;114.34
2020-04-10;Frankreich;NEGPOS_00_24;113.94
2020-04-11;Frankreich;NEGPOS_00_24;200
2020-04-12;Frankreich;NEGPOS_00_24;276.54
2020-04-13;Frankreich;NEGPOS_00_24;236.35
2020-04-14;Frankreich;NEGPOS_00_24;192.25
2020-04-15;Frankreich;NEGPOS_00_24;153.68
2020-04-16;Frankreich;NEGPOS_00_24;78.33
2020-04-17;Frankreich;NEGPOS_00_24;121.41
2020-04-18;Frankreich;NEGPOS_00_24;179.03
2020-04-19;Frankreich;NEGPOS_00_24;225.41
2020-04-20;Frankreich;NEGPOS_00_24;217.94
2020-04-21;Frankreich;NEGPOS_00_24;218.62
2020-04-22;Frankreich;NEGPOS_00_24;260
2020-04-23;Frankreich;NEGPOS_00_24;247.5
2020-04-24;Frankreich;NEGPOS_00_24;166.98
2020-04-25;Frankreich;NEGPOS_00_24;170.45
2020-04-26;Frankreich;NEGPOS_00_24;180.92
2020-04-27;Frankreich;NEGPOS_00_24;149
2020-04-28;Frankreich;NEGPOS_00_24;135.78
2020-04-29;Frankreich;NEGPOS_00_24;141
2020-04-30;Frankreich;NEGPOS_00_24;176.73
2020-05-01;Frankreich;NEGPOS_00_24;437.6
2020-05-02;Frankreich;NEGPOS_00_24;277.11
2020-05-03;Frankreich;NEGPOS_00_24;275.52
2020-05-04;Frankreich;NEGPOS_00_24;135
2020-05-05;Frankreich;NEGPOS_00_24;128.52
2020-05-06;Frankreich;NEGPOS_00_24;65
2020-05-07;Frankreich;NEGPOS_00_24;65
2020-05-08;Frankreich;NEGPOS_00_24;65
2020-05-09;Frankreich;NEGPOS_00_24;172.58
2020-05-10;Frankreich;NEGPOS_00_24;235
2020-05-11;Frankreich;NEGPOS_00_24;118.58
2020-05-12;Frankreich;NEGPOS_00_24;118.58
2020-05-13;Frankreich;NEGPOS_00_24;110
2020-05-14;Frankreich;NEGPOS_00_24;120.15
2020-05-15;Frankreich;NEGPOS_00_24;122.8
2020-05-16;Frankreich;NEGPOS_00_24;162.63
2020-05-17;Frankreich;NEGPOS_00_24;186.67
2020-05-18;Frankreich;NEGPOS_00_24;80.62
2020-05-19;Frankreich;NEGPOS_00_24;78.27
2020-05-20;Frankreich;NEGPOS_00_24;100.59
2020-05-21;Frankreich;NEGPOS_00_24;81.69
2020-05-22;Frankreich;NEGPOS_00_24;65
2020-05-23;Frankreich;NEGPOS_00_24;155
2020-05-24;Frankreich;NEGPOS_00_24;219.33
2020-05-25;Frankreich;NEGPOS_00_24;78.17
2020-05-26;Frankreich;NEGPOS_00_24;75.42
2020-05-27;Frankreich;NEGPOS_00_24;110.35
2020-05-28;Frankreich;NEGPOS_00_24;138.1
2020-05-29;Frankreich;NEGPOS_00_24;98.4
2020-05-30;Frankreich;NEGPOS_00_24;75.36
2020-05-31;Frankreich;NEGPOS_00_24;99.97
2020-06-01;Frankreich;NEGPOS_00_24;141.02
2020-06-02;Frankreich;NEGPOS_00_24;103.39
2020-06-03;Frankreich;NEGPOS_00_24;118
2020-06-04;Frankreich;NEGPOS_00_24;127.3
2020-06-05;Frankreich;NEGPOS_00_24;154.23
2020-06-06;Frankreich;NEGPOS_00_24;210.19
2020-06-07;Frankreich;NEGPOS_00_24;201.54
2020-06-08;Frankreich;NEGPOS_00_24;136.21
2020-06-09;Frankreich;NEGPOS_00_24;144.96
2020-06-10;Frankreich;NEGPOS_00_24;91.62
2020-06-11;Frankreich;NEGPOS_00_24;166.19
2020-06-12;Frankreich;NEGPOS_00_24;109.75
2020-06-13;Frankreich;NEGPOS_00_24;108.24
2020-06-14;Frankreich;NEGPOS_00_24;142.55
2020-06-15;Frankreich;NEGPOS_00_24;169.38
2020-06-16;Frankreich;NEGPOS_00_24;142.74
2020-06-17;Frankreich;NEGPOS_00_24;100
2020-06-18;Frankreich;NEGPOS_00_24;108.72
2020-06-19;Frankreich;NEGPOS_00_24;158.4
2020-06-20;Frankreich;NEGPOS_00_24;65
2020-06-21;Frankreich;NEGPOS_00_24;65
2020-06-22;Frankreich;NEGPOS_00_24;202.15
2020-06-23;Frankreich;NEGPOS_00_24;160.14
2020-06-24;Frankreich;NEGPOS_00_24;148.13
2020-06-25;Frankreich;NEGPOS_00_24;119
2020-06-26;Frankreich;NEGPOS_00_24;92.46
2020-06-27;Frankreich;NEGPOS_00_24;105
2020-06-28;Frankreich;NEGPOS_00_24;130.94
2020-06-29;Frankreich;NEGPOS_00_24;115
